date,temp_max,temp_min
2000-01-01,26.1261,19.4364
2000-01-02,23.9456,20.1492
2000-01-03,23.4706,20.2131
2000-01-04,24.3611,20.161
2000-01-05,25.2853,20.4348
2000-01-06,23.4157,20.6435
2000-01-07,24.2651,20.1936
2000-01-08,23.8398,20.1499
2000-01-09,24.5249,20.2729
2000-01-10,25.2184,20.1586
2000-01-11,24.9812,20.3689
2000-01-12,25.3931,19.8602
2000-01-13,24.4652,19.7495
2000-01-14,24.1281,19.7468
2000-01-15,24.9544,19.9666
2000-01-16,24.1196,20.2162
2000-01-17,24.7159,19.8347
2000-01-18,25.6187,19.2716
2000-01-19,25.8626,19.0602
2000-01-20,25.6859,19.3895
2000-01-21,25.6641,19.236
2000-01-22,25.4104,18.6918
2000-01-23,25.621,18.0635
2000-01-24,25.1597,19.0859
2000-01-25,25.82,19.289
2000-01-26,25.8052,18.9885
2000-01-27,25.6634,19.5167
2000-01-28,25.518,20.8723
2000-01-29,25.9259,20.8865
2000-01-30,26.5075,20.536
2000-01-31,26.5411,20.255
2000-02-01,23.2844,20.2913
2000-02-02,24.3338,20.4794
2000-02-03,25.064,20.4981
2000-02-04,24.3489,20.2521
2000-02-05,25.058,20.1968
2000-02-06,24.3984,20.495
2000-02-07,25.9801,20.386
2000-02-08,25.1065,20.9183
2000-02-09,25.4644,21.2059
2000-02-10,25.8543,20.8918
2000-02-11,25.3993,19.854
2000-02-12,25.4942,19.1388
2000-02-13,25.5452,18.6359
2000-02-14,25.6012,19.1122
2000-02-15,26.1895,20.618
2000-02-16,26.5148,19.8834
2000-02-17,25.7627,19.8459
2000-02-18,26.5305,20.4804
2000-02-19,25.548,20.4001
2000-02-20,25.155,20.2759
2000-02-21,25.7284,20.6569
2000-02-22,26.0691,20.7103
2000-02-23,25.7502,20.5511
2000-02-24,26.6603,20.3723
2000-02-25,26.9708,20.1254
2000-02-26,26.0125,20.6785
2000-02-27,25.7504,20.6103
2000-02-28,25.4215,20.8106
2000-02-29,25.9057,21.0023
2000-03-01,25.6644,21.1268
2000-03-02,25.993,21.1579
2000-03-03,26.1846,20.9224
2000-03-04,26.6375,20.917
2000-03-05,26.6896,21.0144
2000-03-06,25.261,20.6969
2000-03-07,25.7628,20.9962
2000-03-08,26.2092,21.0194
2000-03-09,25.9909,20.8443
2000-03-10,26.0613,20.6978
2000-03-11,26.301,20.8016
2000-03-12,26.1773,20.6713
2000-03-13,26.4452,20.5188
2000-03-14,26.6839,20.6954
2000-03-15,25.8912,21.1907
2000-03-16,27.4509,20.8093
2000-03-17,27.2143,21.1684
2000-03-18,26.9655,21.0628
2000-03-19,26.4613,21.1798
2000-03-20,26.9039,20.4445
2000-03-21,27.103,19.9419
2000-03-22,26.6344,20.6449
2000-03-23,25.719,20.7556
2000-03-24,26.2861,20.7549
2000-03-25,26.735,20.9252
2000-03-26,26.3793,21.0176
2000-03-27,25.8293,20.7758
2000-03-28,26.4421,20.7007
2000-03-29,25.9698,20.6997
2000-03-30,26.0841,20.9166
2000-03-31,27.8078,20.9513
2000-04-01,26.8737,21.7341
2000-04-02,26.8148,21.5657
2000-04-03,27.6792,21.3353
2000-04-04,27.6223,21.1776
2000-04-05,26.1371,21.0295
2000-04-06,25.6722,21.2519
2000-04-07,26.0536,20.922
2000-04-08,27.5852,20.8104
2000-04-09,27.0324,21.4673
2000-04-10,27.5157,21.4261
2000-04-11,27.2587,21.9651
2000-04-12,26.7757,21.9529
2000-04-13,27.4061,22.051
2000-04-14,28.3228,22.2304
2000-04-15,28.8384,21.831
2000-04-16,28.6608,21.6682
2000-04-17,28.5192,21.6094
2000-04-18,27.9269,21.9535
2000-04-19,27.7425,21.9674
2000-04-20,27.8561,22.0101
2000-04-21,26.2747,22.1339
2000-04-22,27.7778,22.2426
2000-04-23,26.2076,22.2422
2000-04-24,27.2507,22.5556
2000-04-25,28.0005,22.6256
